payment_delay_days,missing_documents_count,previous_violations,employee_count,company_age_years,actual_risk_score
25,2,1,310,14,48.82507480531615
46,4,3,255,3,78.67456665378137
28,2,0,138,15,50.51452217232399
14,2,9,475,2,55.55993049791878
38,4,3,292,2,66.60597021689958
46,3,5,463,3,93.4510058897933
15,4,3,266,19,49.50412068110309
56,4,2,261,6,91.6456403479438
48,0,7,16,18,82.25439459443677
14,3,7,64,14,59.006722520657064
49,3,6,391,12,91.86679241317476
52,3,9,391,14,100.0
19,3,8,170,16,77.3051942000223
56,3,5,121,2,99.02697482353322
12,0,7,281,18,47.37876118340678
29,1,5,36,11,63.72900079325416
37,0,7,271,19,74.52728780892483
23,0,0,80,14,27.581987304547155
21,3,3,165,10,46.40817655403729
39,1,0,6,1,50.56411308739701
32,4,3,158,7,66.99007876001102
1,1,9,147,2,42.70882036493813
39,2,2,127,6,63.42984092876027
8,0,6,227,9,37.09111656806795
49,3,3,322,15,87.76742692710874
58,2,3,212,4,98.35739214736753
2,0,9,18,11,40.72067330111652
17,3,6,16,13,71.24279563989596
18,3,7,225,19,62.4798070900025
43,1,5,406,19,76.790017390841
9,2,2,449,15,29.400156633591305
32,3,0,354,5,47.27117168498829
19,3,7,54,17,58.478125598950896
50,0,3,254,2,77.39340416715648
33,3,5,299,10,74.40745765249646
50,2,9,250,12,100.0
20,0,2,286,8,20.57590213837214
35,1,1,379,5,50.87222964504277
53,3,7,235,2,100.0
38,0,8,32,2,86.18382740157193
35,4,6,307,11,93.6880578003702
9,2,5,274,16,30.32421238660007
29,0,0,137,8,36.070869461231005
42,3,0,317,11,69.63539504992518
36,0,0,124,12,49.3125045744344
55,3,5,112,18,94.81329177276477
36,4,4,165,17,82.34624485946792
50,3,9,280,18,100.0
56,2,1,411,12,83.46267445910668
37,3,6,388,13,79.73657904371191
20,0,6,268,6,50.52713573312409
4,1,0,315,11,9.645561822142101
16,1,7,307,8,62.21703633591053
48,3,7,349,14,100.0
30,4,4,365,2,75.75870136696788
49,0,0,173,16,57.127462468216265
30,0,3,102,6,49.03095491014663
45,3,5,23,6,92.94950040018936
0,0,4,147,1,14.042872416566324
11,1,6,147,19,37.24303825271846
48,0,2,432,6,54.83304943198142
25,2,2,460,14,54.345885912715644
8,2,4,286,8,39.08868564074727
47,1,5,416,12,81.84804079963806
14,3,3,275,11,37.89303008350599
47,1,4,411,11,76.13657155999519
10,2,3,281,13,35.96042264850435
21,2,1,338,4,34.84713691869122
26,4,2,140,16,54.27863812353748
41,3,1,6,17,62.90680325301458
43,1,6,401,7,80.91582729653587
55,0,9,449,10,100.0
53,0,7,177,10,95.5810440422626
46,2,6,410,9,92.09645072152442
23,1,8,129,10,70.40341247848562
7,0,9,351,5,49.749252493505196
35,3,6,206,18,76.43525963487996
18,3,9,485,18,70.36426768808043
43,1,0,123,17,53.669714490646875
