region,industry,business_size,risk_score,actual_decision
Kolkata,Healthcare,medium,23,clear
Chennai,Retail,large,36,clear
Chennai,Healthcare,medium,46,clear
Kolkata,Manufacturing,medium,47,clear
Delhi,Manufacturing,large,46,clear
Mumbai,Construction,small,57,clear
Chennai,Construction,medium,36,clear
Chennai,Manufacturing,large,32,clear
Bangalore,Construction,small,56,clear
Bangalore,Healthcare,medium,27,clear
Chennai,Healthcare,small,31,clear
Kolkata,Retail,large,23,clear
Delhi,IT,medium,56,clear
Delhi,Construction,small,70,inspected
Bangalore,IT,large,17,clear
Mumbai,Healthcare,small,60,clear
Kolkata,Healthcare,large,19,clear
Chennai,Construction,small,49,clear
Bangalore,Manufacturing,large,27,clear
Kolkata,Retail,medium,32,clear
Delhi,Healthcare,medium,75,inspected
Bangalore,Construction,small,62,inspected
Bangalore,Manufacturing,small,47,clear
Delhi,IT,medium,74,inspected
